"Review #","Brand","Variety","Style","Country","Stars","Top Ten"
"2473","Tokyo Noodle","Mini Instant Noodle Mild Curry Flavor","Pack","Japan","2",""
"2472","GGE","Noodle Snack Wheat Cracks Seaweed Flavor","Pack","Taiwan","3.5",""
"2471","Nissin","Cup Noodles Mini Seafood Flavour","Cup","Hong Kong","5",""
"2470","Myojo","Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor","Pack","USA","3.75",""
"2469","KOKA","Signature Curry Flavor Instant Noodles","Cup","Singapore","3.5",""
"2468","Acecook","Dossari Yasai Chanpon","Cup","Japan","4.25",""
"2467","Paldo","Volcano Curry Kkokkomyun","Pack","South Korea","3.5",""
"2466","Sau Tao","Instant Noodle King Pepper Duck Flavour Soup","Pack","Hong Kong","4",""
"2465","Nissin","Cup Noodles XO Sauce Seafood","Cup","China","3.75",""
"2464","Wang","Extreme Spicy Hot Chicken Flavor Udon","Bowl","South Korea","2",""
"2463","Nissin","Gekikara Ramen Rasa Pedas","Pack","Indonesia","3.25",""
"2462","TTL","Sesame Oil Chicken Noodle With Rice Wine","Bowl","Taiwan","5",""
"2461","Fujiwara","Hokkaido Hakodate Shio Ramen","Pack","Japan","4.5",""
"2460","Daifuku","Katsuo Bowl Udon","Bowl","USA","5",""
"2459","Nissin","Cup Noodles MUG Shoyu & Seafood","Pack","Japan","3.5",""
"2458","Samyang Foods","Sari Ramen","Pack","South Korea","Unrated",""
"2457","KOKA","Instant Noodles Chicken Satay Flavour","Pack","Singapore","3.5",""
"2456","KOKA","Signature Spicy Singapore Fried Noodles Instant Noodles","Pack","Singapore","4.25",""
"2455","KOKA","Creamy Soup With Crushed Noodles Sweet Corn Flavor","Cup","Singapore","5",""
"2454","KOKA","Silk Beef Pho Flavor Instant Rice Fettuccine","Bowl","Singapore","3.25",""
"2453","KOKA","Delight Spicy Sesame Flavor Instant Non-Fried Noodles","Pack","Singapore","4.5",""
"2452","KOKA","Signature Laksa Singapura Instant Noodles","Bowl","Singapore","5",""
"2451","KOKA","Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles","Pack","Singapore","5",""
"2450","KOKA","Purple Wheat Noodles Chili & Lime Flavor","Pack","Singapore","4",""
"2449","KOKA","Delight Tomato Flavor Instant Non-Fried Noodles","Pack","Singapore","5",""
"2448","KOKA","Seafood Flavor Instant Noodles","Cup","Singapore","3.5",""
"2447","KOKA","Signature Stir-Fry Original Flavor Instant Noodles","Pack","Singapore","3",""
"2446","KOKA","Creamy Soup Witrh Crushed Noodles Curry Flavor","Cup","Singapore","5",""
"2445","KOKA","Delight Laksa Singapura Flavor Instant Non-Fried Noodles","Pack","Singapore","4.25",""
"2444","KOKA","Silk Spicy Marinara Instant Rice Fettuccine","Bowl","Singapore","5",""
"2443","KOKA","Signature Chicken Flavor Instant Noodles","Cup","Singapore","3.75",""
"2442","Nissin","Cup Noodles Sopa Nissin Hot Sauce Con Camaron","Cup","Mexico","3.5",""
"2441","MyKuali","Penang Hokkien Prawn Flavor Noodle","Box","Japan","5",""
"2440","Master Kong","Roasted Pork Noodle","Pack","China","4.5",""
"2439","Uni-President","Man Han Feast Super Hot Pot Beef Flavor Instant Noodles","Bowl","Taiwan","5",""
"2438","World O' Noodle","Mi Goreng Original Flavour Fried Noodles","Pack","Indonesia","5",""
"2437","Nissin","Raoh Nojyuku Toro Tonkotsu Ramen","Bowl","Japan","4.5",""
"2436","Kang Shi Fu","Artificial Dongpo's Braised Pork Flavour","Pack","Hong Kong","4.75",""
"2435","Mum Ngon","Lau Tom Chua Cay","Pack","Vietnam","3.5",""
"2434","Happy Cook","Old Beijing Fried Bean Sauce Noodle","Pack","Taiwan","4.25",""
"2433","Nissin","Cup Noodles Indonesia Mie Goreng","Cup","Japan","3.75",""
"2432","Fashion Food","Yummy Spicy Rice Soup With Seafood","Bowl","Thailand","3.5",""
"2431","Dream Kitchen","Udon Japanese Style Fresh Noodle","Bowl","USA","3.75",""
"2430","MyKuali","MeeKuali Bihun Sup Rempah Perisa Daging","Pack","Malaysia","5",""
"2429","New Touch","T's Restaurant Sura Tanmen","Cup","Japan","4",""
"2428","TTL","Sesame Oil Chicken With Rice Wine Noodle","Bowl","Taiwan","5",""
"2427","Ajinatori","HALAL Chicken Shoyu Sauce Ramen","Pack","Japan","2.5",""
"2426","Dr. McDougall's","Vegan Pad Thai Noodle Soup","Cup","USA","0",""
"2425","Nissin","Seafood Flavour Rice Vermicelli","Cup","Hong Kong","5",""
"2424","Samyang Foods","Cheese Type Buldak Bokkeummyun","Pack","South Korea","3.75",""
"2423","Ve Wong","Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor","Pack","Taiwan","3.5",""
"2422","Nissin","Cup Noodles Sopa Nissin Con Camaron Picante","Cup","Mexico","3.25",""
"2421","Uni-President","Baseball Snack Noodle","Pack","Taiwan","5",""
"2420","Nissin","Cup Noodles Spicy Seafood Flavor","Cup","China","3.75",""
"2419","MyKuali","Penang Red Tom Yum Goong","Box","Japan","5",""
"2418","Myojo","Yomise No Yakisoba Karashi Mentaiko Flavor","Tray","Japan","4.5",""
"2417","Super Bihun","Bihun Kuah Rasa Baso Sapi","Pack","Indonesia","3.75",""
"2416","Xiuhe","Hot & Sour Beef Noodles","Bowl","China","4.25",""
"2415","Nissin","Kitsune Udon Donbei","Bowl","Japan","5",""
"2414","Little Cook","Thailand Green Curry Instant Noodle","Bowl","Taiwan","5",""
"2413","Nissin","Cup Noodles Beef Flavour","Cup","Hong Kong","2.5",""
"2412","Shirakiku","Sanukiya Udon Shrimp Flavor","Pack","USA","3.25",""
"2411","Mama Pat's","Chicken Fajita Flavor Instant Ramen Noodles","Pack","USA","3.75",""
"2410","Mama Pat's","Lamb Stew Flavor Instant Ramen Noodles","Pack","USA","3.75",""
"2409","Mama Pat's","Seafood Gumbo Flavor Instant Ramen Noodles","Pack","USA","3.5",""
"2408","Mama Pat's","Chicken Taco Flavor Instant Ramen Noodles","Pack","USA","3.75",""
"2407","Just Way","Chuan Wei Spicy Guan-miao Noodles","Pack","Taiwan","4.5",""
"2406","Sichuan Guangyou","Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor","Pack","China","0.25",""
"2405","Nissin","Cup Noodles Mini Spicy Seafood","Cup","Hong Kong","4",""
"2404","MyKuali","Penang Hokkien Prawn Noodle Soup","Pack","Singapore","5",""
"2403","Goku-Uma","Yakisoba Japanese Style Noodle","Bowl","USA","4.75",""
"2402","Maggi","Nutri-licious Pazzta Tomato Twist","Pack","India","3.75",""
"2401","Sichuan Baijia","Chongqing Noodles Burning Dry Noodles","Bowl","China","5",""
"2400","Nissin","Cup Noodles Tom Yam Seafood Flavour","Cup","Singapore","5",""
"2399","Indomie","My Noodles Mi Goreng Pizza Cheese","Pack","Indonesia","4",""
"2398","Liang Cheng Mai","Shaanxi Cold Noodle: Mustard Spicy","Tray","China","1",""
"2397","Samyang Foods","Cheese Buldak Bokkeummyun","Bowl","South Korea","4",""
"2396","Maggi","2 Minute Noodles Chicken Flavour","Pack","Fiji","3.25",""
"2395","Master Kong","Chicken Flavor Instant Noolde","Pack","China","4.25",""
"2394","Nissin","Cup Noodles Prawn Flavour","Cup","Hong Kong","3.75",""
"2393","Ripe'n'Dry","Hokkaido Miso Ramen","Pack","Japan","3",""
"2392","MyKuali","Penang Red Tom Yum Goong Rice Vermicelli Soup","Bowl","Malaysia","5",""
"2391","Ottogi","Jin Jjambbong Spicy Seafood Ramyun","Pack","South Korea","5",""
"2390","Nissin","Rice Vermicelli Pickled Vegetable Pork Flavour","Cup","Hong Kong","3.75",""
"2389","Gefen","Imitation Chicken Flavor","Cup","USA","4",""
"2388","Hua Feng","Three Fresh Delicacies Instant Noodle","Pack","China","4.25",""
"2387","Nissin","Demae Iccho Sesame Oil Flavour Instant Noodle","Bowl","Hong Kong","3.5",""
"2386","Maggi","2 Minute Noodles Curry Flavour","Pack","Fiji","4",""
"2385","Uni-President","Man Han Feast Chilli Beef Flavor Instant Noodles","Bowl","Taiwan","4.75",""
"2384","Sichuan Guangyou","9999 Chongqing Artificial Beef Flavor Instant Noodle","Pack","China","4.25",""
"2383","Nissin","Cup Noodles Beef Flavor Ramen Noodle Soup","Cup","USA","3.5",""
"2382","Nongshim","Seaweed Instant Noodle","Cup","South Korea","0.5",""
"2381","Nissin","Demae Iccho Seafood Flavour Instant Noodle","Cup","Hong Kong","4.75",""
"2380","Pulmuone","Non-Fried Ramyun With Spicy Beef Broth","Pack","South Korea","3.75",""
"2379","Nissin","Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup","Cup","USA","2.5",""
"2378","Sau Tao","Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured","Pack","Hong Kong","4.5",""
"2377","MyKuali","Penang White Curry Instant Noodle","Box","Malaysia","5",""
"2376","Nissin","Disney Cuties Instant Chicken With Corn Flavour","Cup","Thailand","3.25",""
"2375","Uni-President","Man Han Feast Braised Pork Flavor Instant Noodles","Bowl","Taiwan","5",""
"2374","World O' Noodle","Mi Goreng Garlic Flavour Fried Noodles","Pack","Indonesia","4.5",""
"2373","Nissin","Top Ramen Atta Nooldes Masala","Pack","India","4.5",""
"2372","Liu Quan","Instant Spicy Rice Noodle","Bowl","China","4",""
"2371","Daikoku","Tanuki Soba","Cup","Japan","3.5",""
"2370","Samyang Foods","Zzaldduck Buldak Bokkeummyun Snack","Pack","South Korea","4.5",""
"2369","Samyang Foods","Curry Buldak Bokkeummyun","Pack","South Korea","4.25",""
"2368","Samyang Foods","Cool/Ice Buldak Bokkeummyun","Pack","South Korea","3.75",""
"2367","Samyang Foods","2x Spicy Haek Buldak Bokkeummyun","Pack","South Korea","4",""
"2366","Samyang Foods","Buldak Bokkeummyun Snack","Pack","South Korea","5",""
"2365","Samyang Foods","Stew Buldak Bokkeumtangmyun","Pack","South Korea","5",""
"2364","Samyang Foods","Cheese Buldak Bokkeummyun","Pack","South Korea","4",""
"2363","Samyang Foods","Buldak Bokkeummyun","Pack","South Korea","4",""
"2362","Chuan Wei Wang","Bowl Instant Noodles Artificial Spicy Beef Flavor","Bowl","China","4",""
"2361","Nissin","Demae Iccho Chicken Flavour Instant Noodle","Bowl","Hong Kong","5",""
"2360","Wai Wai","Instant Noodles Artificial Chicken Flavoured","Pack","India","2",""
"2359","Daikoku","Kitsune Udon","Cup","Japan","2",""
"2358","Sichuan Baijia","Pickled Cabbage Flavor Instant Vermicelli","Bowl","China","4",""
"2357","Kamfen","Noodle King Artificial Wonton Soup Flavored","Bowl","Hong Kong","5",""
"2356","Nongshim","Spicy Shrimp Cup Noodle","Cup","South Korea","4",""
"2355","Marutai","Nagasaki Agodashi Shoyu Ramen","Pack","Japan","4",""
"2354","Vifon","Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli","Bowl","Vietnam","5",""
"2353","Nissin","Cup Noodles Rich Garlic, Egg Yolk & Oxtail","Cup","Japan","4",""
"2352","Uni-President","Minced Pork Flavor Instant Noodles","Pack","Taiwan","1",""
"2351","1 To 3 Noodles","Chatpat Masala","Pack","India","4",""
"2350","Nissin","Cup Noodles BIG XO Sauce Seafood Flavour","Cup","Hong Kong","4",""
"2349","Fantastic","Noodles Chicken & Corn Flavour","Cup","Australia","3",""
"2348","Ripe'n'Dry","Hokkaido Salt Ramen","Pack","Japan","3",""
"2347","Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle","Bowl","Hong Kong","3",""
"2346","Knorr","Chatt Patta Instant Noodles","Pack","Pakistan","1",""
"2345","Sempio","Clam Flavor Soup Kal-guksu","Pack","South Korea","5",""
"2344","Nissin","Cup Noodles Sopa Nissin Sabor A Pollo","Cup","Mexico","4",""
"2343","Nissin","Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne","Cup","Mexico","4",""
"2342","Nissin","Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen","Pack","Mexico","4",""
"2341","Nissin","Cup Noodles Sopa Nissin Sabor A Carne De Res","Cup","Mexico","4",""
"2340","Nissin","RapiFideo Sabor A Tomate Y Pollo","Cup","Mexico","4",""
"2339","Nissin","Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon","Cup","Mexico","3",""
"2338","Nissin","Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen","Pack","Mexico","4",""
"2337","Nissin","Cup Noodles Sopa Nissin Con Camaron","Cup","Mexico","3",""
"2336","Nissin","Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante","Cup","Mexico","3",""
"2335","Nissin","Cup Noodles Gourmet Sabor A Caldo De Camaron","Cup","Mexico","5",""
"2334","Nissin","Sopa Nissin Sabor Mariscos, Habanero Y Limon","Cup","Mexico","4",""
"2333","Nissin","Maxi Sopa Nissin Cuchareable Sabor A Pollo","Cup","Mexico","4",""
"2332","Nissin","Sopa Nissin Sabor A Res Instantanea Tipo Ramen","Pack","Mexico","4",""
"2331","Nissin","Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo","Cup","Mexico","4",""
"2330","Ve Wong","Little Prince Brand Snack Noodles Artificial Mexican Pizza Flavor","Pack","Taiwan","4",""
"2329","Patanjali","Atta Noodles Jhatpat Banao Befikr Khao","Pack","India","5",""
"2328","Qin Zong","Shaanxi Cold Noot Hot & Sour Flavor","Pack","China","3",""
"2327","Nissin","Cup Noodles Spicy Lime Flavor Ramen Noodle Soup","Cup","USA","4",""
"2326","Nissin","Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle","Cup","Hong Kong","4",""
"2325","Pran","Mr. Noodles Curry Flavor Instant Noodles","Pack","Bangladesh","4",""
"2324","Paldo","Bul Jjajangmyeon","Pack","South Korea","5",""
"2323","Ogasawara","Kirin Giraffe Shio Ramen","Pack","Japan","5",""
"2322","Sapporo Ichiban","Mie Kamayama Ramen Gyukotsu Misoaji","Bowl","Japan","3",""
"2321","Sau Tao","Black Pepper XO Sauce Flavour","Bowl","Hong Kong","5",""
"2320","Nissin","Nupasta Bolognese Flavour Instant Noodle","Cup","Japan","4.00",""
"2319","Nongshim","Saeutang Sabalmyeon","Bowl","South Korea","3.5",""
"2318","Happy Cook","Sichuan Spicy Flavor","Pack","Taiwan","5.0",""
"2317","MAMA","Instant Bowl Noodles Shrimp  Flavor Base","Bowl","Thailand","4",""
"2316","Nissin","Cup Noodle Spicy Curry Chicken","Cup","Japan","5",""
"2315","Goku-Uma","Ramen Noodles Miso Flavor","Bowl","USA","3",""
"2314","Nissin","Cup Noodles Spicy Beef Flavour","Cup","Hong Kong","4.00",""
"2313","Xiao Ban Mian","Sesame Oil With Garlic Flavor Thin Noodle","Pack","Taiwan","3.50",""
"2312","Xiao Ban Mian","Traditional Shallot & Onion Oil Noodle","Pack","Taiwan","5",""
"2311","Xiao Ban Mian","Sesame Sauce Matcha Noodle","Pack","Taiwan","3.8",""
"2310","Pran","Mr. Noodles Instant Noodles Beef Flavour","Pack","Bangladesh","4",""
"2309","Nissin","Cup Noodles Big Seafood Flavour","Cup","Hong Kong","4",""
"2308","Fantastic","Noodles Chicken Chow Mein Flavour","Cup","Australia","4",""
"2307","Ottogi","Ramyun Sabor Pollo","Pack","Mexico","4.00",""
"2306","Nissin","Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles","Cup","Hong Kong","4.00",""
"2305","Ajinatori","Chicken Flavor Ramen","Pack","Japan","4",""
"2304","Maggi","2 Minute Noodles Masala Spicy","Pack","India","5",""
"2303","Maruchan","Sopa Maruchan Sobar A Camaron","Pack","Mexico","3",""
"2302","Nissin","Yakisoba","Tray","Japan","5",""
"2301","Suimin","Noodle With Oriental Chicken Flavour","Cup","Australia","3",""
"2300","Nissin","Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle","Pack","Hong Kong","4",""
"2299","Cintan","Mi Segera Mmm... Original","Pack","Malaysia","3",""
"2298","Nissin","Cup Noodles Spicy Chile Chicken","Cup","USA","4",""
"2297","Chuan Wei Wang","Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor","Bowl","China","3",""
"2296","Suimin","Noodles With Chicken Flavour","Cup","Australia","3",""
"2295","Nissin","Cup Noodles Seafood","Cup","China","4",""
"2294","Sapporo Ichiban","Tabimen AizuKitakata Gyokai Shoyu Ramen","Bowl","Japan","4",""
"2293","Nissin","Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle","Pack","Hong Kong","5",""
"2292","Sichuan Baijia","Chongqing Noodles Spicy Hot Flavor","Pack","China","5",""
"2291","Samyang Foods","Buldak Bokkummyun Cheese Flavor","Pack","South Korea","4",""
"2290","Nissin","Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle","Pack","Hong Kong","5",""
"2289","Myojo","Shin Toyama Black Ramen","Bowl","Japan","4",""
"2288","Nissin","Cup Noodles Tom Yum Goong Flavour","Cup","Hong Kong","4",""
"2287","Master Kong","Artificial Abalone Crab Flavor Instant Noodle","Pack","China","0",""
"2286","Kamfen","Noodle King Artificial Abalone And Chicken Soup Flavored","Bowl","Hong Kong","4",""
"2285","Fantastic","Noodles Beef Flavour","Cup","Australia","3",""
"2284","Nissin","Korean Kimchi Flavour Vermicelli","Cup","Hong Kong","4",""
"2283","Nissin","Raoh Pork Bone Soy Soup Noodle","Pack","Japan","5",""
"2282","Samyang Foods","Gold Jjamppong Fried Noodle","Pack","South Korea","5",""
"2281","Nissin","Demae Iccho Red Hot Seafood Flavour Instant Noodle","Cup","Hong Kong","4",""
"2280","Sichuan Baijia","Chongqing Noodles Hot & Sour Flavor","Pack","China","4",""
"2279","Nissin","Demae Iccho Spicy Tonkotsu Flavour Instant Noodle","Bowl","Hong Kong","5",""
"2278","Nissin","Raoh Tantanmen","Pack","Japan","5",""
"2277","Goku-Uma","Ramen Noodles Soy Sauce Flavor","Bowl","USA","3",""
"2276","Nissin","Cup Noodles With Shrimp Ramen Noodle Soup","Cup","USA","3",""
"2275","JML","Hot & Sour Beef Noodles","Pack","China","4",""
"2274","Suimin","Noodles With Braised Beef Flavour","Cup","Australia","4",""
"2273","Uni-President","A Q Bucket Noodle Korean Kimchi Flavor","Bowl","Taiwan","4",""
"2272","Nissin","Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle","Bowl","Hong Kong","4",""
"2271","Sichuan Baijia","Chongqing Noodles Burning Dry Noodles","Pack","China","5",""
"2270","Samyang Foods","Fresh Bibimmyun Fried Noodle","Pack","South Korea","4",""
"2269","Wai Wai","Instant Noodles Veg Masala Flavour","Pack","India","4",""
"2268","Nissin","Nupasta Neapolitan Flavour Instant Noodle","Pack","Hong Kong","5",""
"2267","Shirakiku","Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base","Pack","USA","2",""
"2266","Nissin","Disney Cuties Instant Noodle Crab Flavour","Cup","Thailand","4",""
"2265","Nissin","Cup Noodles Rich Soft Shelled Turle Soup","Cup","Japan","3",""
